,Chamber,Sum,Error,Percent
0,31233,19494,1213,0.0622
1,13322,25992,1025,0.0394
2,13333,62814,2878,0.0458
3,12311,62814,2809,0.0447
4,33311,56316,2301,0.0409
5,12322,25992,1299,0.05
6,33322,19494,601,0.0308
7,12333,62814,3462,0.0551
8,11311,64980,2706,0.0416
9,33333,56316,2665,0.0473
10,32311,56316,2827,0.0502
11,11322,25992,982,0.0378
12,32322,19494,904,0.0464
13,11333,62814,2685,0.0427
14,23111,56316,2833,0.0503
15,32333,38988,2609,0.0669
16,31311,56316,2846,0.0505
17,23122,19494,858,0.044
18,31322,19494,1382,0.0709
19,23133,43320,2635,0.0608
20,22111,62814,3182,0.0507
21,31333,56316,2554,0.0454
22,22122,25992,1271,0.0489
23,22133,51984,3152,0.0606
24,21111,62814,3273,0.0521
25,21122,25992,1155,0.0444
26,21133,62814,2871,0.0457
27,23211,19494,750,0.0385
28,23222,93138,4692,0.0504
29,23233,19494,908,0.0466
30,22211,23826,1017,0.0427
31,22222,97470,4767,0.0489
32,22233,23826,1053,0.0442
33,21211,25992,761,0.0293
34,21222,90972,4430,0.0487
35,21233,25992,1157,0.0445
36,23311,56316,2225,0.0395
37,23322,19494,710,0.0364
38,23333,56316,2271,0.0403
39,22311,56316,2343,0.0416
40,22322,19494,784,0.0402
41,13111,62814,3269,0.052
42,22333,56316,2943,0.0523
43,21311,62814,2359,0.0376
44,13122,25992,1474,0.0567
45,21322,25992,978,0.0376
46,13133,47652,2637,0.0553
47,12111,64980,2907,0.0447
48,21333,60648,3492,0.0576
49,33111,56316,2724,0.0484
50,12122,25992,1334,0.0513
51,33122,19494,597,0.0306
52,12133,62814,2640,0.042
53,11111,62814,2703,0.043
54,33133,56316,2291,0.0407
55,32111,56316,2691,0.0478
56,11122,25992,988,0.038
57,32122,19494,727,0.0373
58,11133,64980,2885,0.0444
59,32133,56316,2537,0.045
60,31111,56316,3423,0.0608
61,31122,19494,1274,0.0654
62,13211,25992,900,0.0346
63,31133,56316,3169,0.0563
64,13222,93138,4250,0.0456
65,13233,25992,1072,0.0412
66,12211,25992,1010,0.0389
67,33211,19494,768,0.0394
68,12222,71478,4545,0.0636
69,33222,73644,2525,0.0343
70,12233,25992,767,0.0295
71,11211,25992,1439,0.0554
72,33233,19494,812,0.0417
73,32211,19494,1064,0.0546
74,11222,88806,3861,0.0435
75,32222,93138,4825,0.0518
76,11233,25992,1808,0.0696
77,32233,19494,867,0.0445
78,31211,19494,1494,0.0766
79,31222,75810,3861,0.0509
80,13311,62814,2882,0.0459
